n_corner,n_h_corner,n_contour,a_rect,a_hull,a_approx,l_perimeters,wide/length,perim/a_rect,perim/a_hull,perim/a_appx,corner/a_rect,corner/a_hull,corner/a_appx,corner/l_perim,h_corner/a_rect,h_corner/a_hull,h_corner/a_appx,h_corner/l_perim,extent,solidity,labels
100,807,14,44483.047175651416,32469.5,26836.5,1764.104681134224,0.8724156707498042,0.03965790999362647,0.05433113171235233,0.06573527401614308,0.0022480474326573734,0.0030798133633101834,0.003726268328582341,0.05668597848496463,0.018141742781545005,0.02485409384191318,0.030070985411659493,0.45745584637366454,0.6032972492650961,0.8265141132447373,0
46,281,2,31620.0,30355.0,28704.5,870.8528122901917,0.48627450980392156,0.027541202159715106,0.02868894127129605,0.030338546649138345,0.001454775458570525,0.0015154010871355624,0.0016025361877057603,0.05282178497997611,0.008886780518659076,0.009257124032284632,0.009789405842289536,0.32267220824724535,0.9077956989247312,0.9456267501235381,0
91,387,7,26754.20496230945,20140.0,16132.0,1040.9015827178955,1.8315605173865244,0.038906092862198205,0.05168329606345062,0.06452402570777929,0.0034013344866049345,0.00451837140019861,0.005640962062980412,0.08742421138643111,0.014465015893583621,0.019215491559086396,0.023989585916191422,0.37179307479724,0.6029706366803385,0.8009930486593843,0
57,307,2,33150.0,31149.0,27617.0,814.710676908493,0.5098039215686274,0.024576491007797678,0.026155275511525026,0.029500332292011915,0.0017194570135746607,0.0018299142829625349,0.00206394612014339,0.06996348718086352,0.009260935143288084,0.009855854120517513,0.011116341383930188,0.3768208870969316,0.8330920060331825,0.8866095219750233,0
99,436,7,27184.588857745402,18267.5,15856.0,1035.3107439279556,2.095183829353152,0.03808447313092161,0.056675009931734265,0.0652945726493413,0.0036417692582388656,0.005419460791022308,0.006243693239152371,0.09562346433728224,0.016038498955476214,0.02386752429177501,0.02749747729566095,0.4211296005157076,0.5832716500872268,0.8679895990146435,0
100,173,5,65025.0,65001.0,64897.5,1019.4142135381699,1.0,0.015677265875250593,0.015683054315136228,0.01570806600467152,0.0015378700499807767,0.0015384378701866126,0.0015408914056781848,0.09809555200620686,0.0026605151864667435,0.0026614975154228395,0.00266574213182326,0.16970530497073785,0.9980392156862745,0.9984077168043568,0
91,157,5,28260.972304131603,20055.0,17245.0,871.2102386951447,0.47274752529931874,0.030827327146411676,0.04344104904987009,0.05051958473152477,0.00321998829412873,0.004537521815008726,0.005276891852710931,0.10445239961400737,0.0055553644195407755,0.007828471702817252,0.009104088141490286,0.1802090850483424,0.6102054739807686,0.8598853153826976,0
89,301,14,65025.0,65025.0,49274.5,1846.3401814699173,1.0,0.02839431267158658,0.02839431267158658,0.03747050059300282,0.001368704344482891,0.001368704344482891,0.001806208079229622,0.048203468078750734,0.004628988850442137,0.004628988850442137,0.006108636312900181,0.16302521226633676,0.7577777777777778,0.7577777777777778,0
79,473,6,24918.180875477847,18716.5,15446.5,847.1442233324051,2.3046160395464104,0.033997033233115564,0.04526189316017445,0.05484376547000324,0.003170375895206076,0.00422087462933775,0.005114427216521542,0.09325448704500194,0.01898212403079081,0.025271818983250073,0.030621823714109993,0.5583464857251382,0.6198887501936792,0.825287847621083,0
100,882,12,30869.066601276398,20913.5,18137.0,1071.0092282295227,2.1480488085527996,0.03469522554936073,0.051211381558778905,0.05905106843631928,0.003239488945087349,0.004781600401654434,0.005513591001819485,0.09336987708808937,0.02857229249567042,0.042173715542592104,0.04862987263604786,0.8235223159169484,0.5875461099704925,0.8672388648480647,0
80,619,4,30090.0,29762.0,25676.5,810.0660153627396,2.1610169491525424,0.026921436203480874,0.027218131018168792,0.031548926659113956,0.0026586905948820204,0.002687991398427525,0.0031156894436547037,0.09875738332779803,0.020571618477899633,0.020798333445332974,0.02410764707027827,0.7641352534988373,0.8533233632436025,0.8627276392715544,0
100,805,7,65025.0,65025.0,46718.0,2146.607207298279,1.0,0.03301202933176899,0.03301202933176899,0.04594818286952093,0.0015378700499807767,0.0015378700499807767,0.002140502590008134,0.0465851412685137,0.012379853902345252,0.012379853902345252,0.017231045849565477,0.37501038721153535,0.7184621299500192,0.7184621299500192,0
98,208,17,34236.42777006002,23762.0,20435.5,1015.192993760109,0.5353202300185753,0.029652421700604576,0.042723381607613374,0.04967791312960823,0.0028624481694816783,0.004124231967006144,0.004795576325511977,0.09653336912523797,0.006075400196450908,0.008753471929972225,0.010178366078637665,0.20488715079642345,0.5968934649739065,0.8600075751199394,0
96,216,19,33495.9592079781,23401.5,20044.0,1003.8792854547501,0.532353372717657,0.02997016085497397,0.04289807428817598,0.05008377995683247,0.002866017342686954,0.0041023011345426574,0.004789463181001796,0.09562902770377685,0.006448539021045647,0.00923017755272098,0.010776292157254041,0.21516531233349792,0.5984005376751803,0.856526291049719,0
81,197,22,26046.01282698987,19120.0,14892.0,887.2590091228485,3.4581332382494328,0.03406506074524531,0.04640475989136237,0.05957957353766106,0.003109880984012444,0.004236401673640167,0.005439161966156326,0.09129239508097783,0.007563537701857426,0.010303347280334729,0.013228579102874026,0.2220321213697856,0.5717573779495472,0.7788702928870292,0
100,279,20,34118.046893333085,23797.5,20401.5,993.0508583784103,0.5294724019606812,0.029106321985050667,0.041729209302591046,0.04867538457360539,0.002931000133525836,0.004202122071646181,0.004901600372521628,0.10069977701171692,0.008177490372537082,0.011723920579892846,0.013675465039335344,0.28095237786269023,0.5979679922412734,0.8572959344468957,0
